T(K),B(Oe),B(T),Cp(mu J/K)
2.5925261,7999.757,0.7999757,2.9281386
2.5949878,7999.757,0.7999757,2.2776085
2.5972813,7999.757,0.7999757,1.7709072
2.5995507,7999.757,0.7999757,1.1847791
2.601592,7999.757,0.7999757,0.5525344
0.74185767,9999.795,0.9999795,17.094743
0.78941608,9999.795,0.9999795,19.228244
0.83124505,9999.795,0.9999795,21.228345
0.86878557,9999.795,0.9999795,23.20621
0.902767,9999.795,0.9999795,25.181701
0.93377325,9999.795,0.9999795,27.224717
0.96217658,9999.795,0.9999795,29.335062
0.9882385,9999.795,0.9999795,31.57995
1.0121491,9999.795,0.9999795,34.09314
1.0339312,9999.795,0.9999795,37.105707
